"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt26350277","movie","Ballerina","Ballerina",0,2023,92,"Action","6.2","Chung-Hyun Lee","Jeon Jong-seo","Jeon Jong-seo"
"tt2637276","movie","Ted 2","Ted 2",0,2015,115,"Comedy","6.3","Seth MacFarlane","Mark Wahlberg","Seth MacFarlane"
"tt2637294","movie","Hot Tub Time Machine 2","Hot Tub Time Machine 2",0,2015,93,"Comedy","5","Steve Pink","Rob Corddry","Craig Robinson"
"tt26445483","movie","Fukrey 3","Fukrey 3",0,2023,147,"Comedy","5.5","Mrighdeep Lamba","Pulkit Samrat","Varun Sharma"
"tt26547864","movie","The Conference","Konferensen",0,2023,100,"Comedy","5.7","Patrik Eklund","Katia Winter","Adam Lundgren"
"tt26658104","movie","Imaginary","Imaginary",0,2024,104,"Horror","4.7","Jeff Wadlow","DeWanda Wise","Taegen Burns"
"tt2300975","movie","Jessabelle","Jessabelle",0,2014,90,"Drama","5.4","Kevin Greutert","Sarah Snook","Mark Webber"
"tt2302755","movie","Olympus Has Fallen","Olympus Has Fallen",0,2013,119,"Action","6.5","Antoine Fuqua","Gerard Butler","Aaron Eckhart"
"tt2302966","movie","I","I",0,2015,188,"Action","7.4","S. Shankar","Vikram","Vikram"
"tt2306745","movie","Sound City","Sound City",0,2013,107,"Documentary","7.8","Dave Grohl","Trent Reznor","Tom Petty"
"tt2309021","movie","We Are What We Are","We Are What We Are",0,2013,105,"Drama","5.9","Jim Mickle","Bill Sage","Ambyr Childers"
"tt2309224","movie","Big Bad Wolves","Mi Mefakhed Mehaze'ev Hara",0,2013,110,"Drama","6.8","Aharon Keshales","Lior Ashkenazi","Rotem Keinan"
"tt2309260","movie","The Gallows","The Gallows",0,2015,81,"Horror","4.2","Travis Cluff","Reese Mishler","Pfeifer Brown"
"tt2309961","movie","Afflicted","Afflicted",0,2013,85,"Horror","6.2","Derek Lee","Clif Prowse","Derek Lee"
"tt2310332","movie","The Hobbit: The Battle of the Five Armies","The Hobbit: The Battle of the Five Armies",0,2014,144,"Adventure","7.4","Peter Jackson","Ian McKellen","Martin Freeman"
"tt2325977","movie","Strangerland","Strangerland",0,2015,112,"Drama","5.2","Kim Farrant","Nicole Kidman","Joseph Fiennes"
"tt2326554","movie","A Girl Walks Home Alone at Night","A Girl Walks Home Alone at Night",0,2014,101,"Drama","6.9","Ana Lily Amirpour","Sheila Vand","Arash Marandi"
"tt2326612","movie","The Captive","The Captive",0,2014,112,"Crime","5.9","Atom Egoyan","Ryan Reynolds","Scott Speedman"
"tt2328900","movie","Mary Queen of Scots","Mary Queen of Scots",0,2018,124,"Biography","6.3","Josie Rourke","Saoirse Ronan","Margot Robbie"
"tt23289160","movie","Godzilla Minus One","Gojira -1.0",0,2023,124,"Action","7.7","Takashi Yamazaki","Minami Hamabe","Ryunosuke Kamiki"
"tt2333784","movie","The Expendables 3","The Expendables 3",0,2014,126,"Action","6.1","Patrick Hughes","Sylvester Stallone","Jason Statham"
"tt2333804","movie","The Zero Theorem","The Zero Theorem",0,2013,107,"Comedy","6","Terry Gilliam","Christoph Waltz","Lucas Hedges"
"tt2334649","movie","Fruitvale Station","Fruitvale Station",0,2013,85,"Biography","7.5","Ryan Coogler","Michael B. Jordan","Melonie Diaz"
"tt2334871","movie","Snatched","Snatched",0,2017,90,"Action","4.7","Jonathan Levine","Amy Schumer","Goldie Hawn"
"tt2334873","movie","Blue Jasmine","Blue Jasmine",0,2013,98,"Comedy","7.3","Woody Allen","Cate Blanchett","Alec Baldwin"
"tt2334879","movie","White House Down","White House Down",0,2013,131,"Action","6.3","Roland Emmerich","Channing Tatum","Jamie Foxx"
